,SYMBOL,NAME OF COMPANY,gain
0,VAISHALI,Vaishali Pharma Limited,0.18427419354838706
1,YESBANK,Yes Bank Limited,0.11299435028248588
2,OPTIEMUS,Optiemus Infracom Limited,0.11080544092923736
3,SAGARDEEP,Sagardeep Alloys Limited,0.10563380281690142
4,CUBEXTUB,Cubex Tubings Limited,0.10256410256410253
5,ARENTERP,Rajdarshan Industries Limited,0.09864864864864861
6,LSIL,Lloyds Steels Industries Limited,0.09433962264150944
7,EXCEL,Excel Realty N Infra Limited,0.09090909090909079
8,SONAMCLOCK,Sonam Clock Limited,0.08626974483596608
9,JYOTISTRUC,Jyoti Structures Limited,0.08510638297872349
10,KAMATHOTEL,Kamat Hotels (I) Limited,0.08154506437768234
11,KOTHARIPRO,Kothari Products Limited,0.07884310618066563
12,TRU,TruCap Finance Limited,0.07032967032967029
13,RHFL,Reliance Home Finance Limited,0.06875
14,JAYNECOIND,Jayaswal Neco Industries Limited,0.0684410646387833
15,CROWN,Crown Lifters Limited,0.06628571428571425
16,HEADSUP,Heads UP Ventures Limited,0.06225680933852146
17,JMCPROJECT,JMC Projects (India)  Limited,0.058776806989674385
18,GRMOVER,GRM Overseas Limited,0.05538674033149175
19,DEVIT,Dev Information Technology Limited,0.0553719008264463
20,ACEINTEG,Ace Integrated Solutions Limited,0.053903345724907174
21,SANGINITA,Sanginita Chemicals Limited,0.05034324942791752
22,TRACXN,Tracxn Technologies Limited,0.05026929982046682
23,MTNL,Mahanagar Telephone Nigam Limited,0.049586776859504106
24,EQUIPPP,Equippp Social Impact Technologies Limited,0.04951690821256049
